rank,name,country,latitude,longitude,easting,northing,bbox_min_e,bbox_max_e,bbox_min_n,bbox_max_n,population
1,London,England,51.50853,-0.12574,530168,180509,530000,535000,180000,185000,8961989
2,Birmingham,England,52.48142,-1.89983,406900,287060,405000,410000,285000,290000,1157603
3,Glasgow,Scotland,55.86515,-4.25763,258814,665857,255000,260000,665000,670000,626410
4,Manchester,England,53.48095,-2.23743,384341,398274,380000,385000,395000,400000,568996
5,Sheffield,England,53.38297,-1.4659,435624,387480,435000,440000,385000,390000,556500
6,Leeds,England,53.79648,-1.54785,429881,433447,425000,430000,430000,435000,536280
7,Edinburgh,Scotland,55.95206,-3.19648,325384,673872,325000,330000,670000,675000,514990
8,Liverpool,England,53.41058,-2.97794,335091,390864,335000,340000,390000,395000,496770
9,Bristol,England,51.45523,-2.59665,358640,173086,355000,360000,170000,175000,479024
10,Cardiff,Wales,51.48,-3.18,318153,176332,315000,320000,175000,180000,372089
11,Leicester,England,52.6386,-1.13169,458856,304893,455000,460000,300000,305000,368600
12,Bradford,England,53.79391,-1.75206,416431,433095,415000,420000,430000,435000,366187
13,Belfast,Northern Ireland,54.59682,-5.92541,146541,529490,145000,150000,525000,530000,348005
14,Coventry,England,52.40656,-1.51217,433283,278840,430000,435000,275000,280000,345324
15,Birkenhead,England,53.39337,-3.01479,332614,388984,330000,335000,385000,390000,325264
16,Nottingham,England,52.9536,-1.15047,457172,339918,455000,460000,335000,340000,323632
17,Islington,England,51.53622,-0.10304,531664,183629,530000,535000,180000,185000,319143
18,Reading,England,51.45625,-0.97113,471583,173532,470000,475000,170000,175000,318014
19,Kingston upon Hull,England,53.7446,-0.33525,509887,428866,505000,510000,425000,430000,314018
20,Preston,England,53.76282,-2.70452,353653,429838,350000,355000,425000,430000,313332
21,Swansea,Wales,51.62079,-3.94323,265571,193119,265000,270000,190000,195000,300352
22,Newcastle upon Tyne,England,54.97328,-1.61396,424810,564364,420000,425000,560000,565000,300125
23,Southend-on-Sea,England,51.53782,0.71433,588339,185594,585000,590000,185000,190000,295310
24,Brighton,England,50.82838,-0.13947,531129,104854,530000,535000,100000,105000,283870
25,Derby,England,52.92277,-1.47663,435284,336279,435000,440000,335000,340000,270468
26,Southampton,England,50.90395,-1.40428,441985,111777,440000,445000,110000,115000,269781
27,Wolverhampton,England,52.58547,-2.12296,391766,298636,390000,395000,295000,300000,263700
28,Plymouth,England,50.37153,-4.14305,247699,54599,245000,250000,50000,55000,260203
29,Stoke-on-Trent,England,53.00415,-2.18538,387657,345220,385000,390000,345000,350000,258366
30,Milton Keynes,England,52.04172,-0.75583,485431,238877,485000,490000,235000,240000,256385
31,City of Westminster,England,51.4975,-0.1357,529509,179265,525000,530000,175000,180000,247614
32,Northampton,England,52.25,-0.88333,476330,261901,475000,480000,260000,265000,245899
33,Oldham,England,53.54051,-2.1183,392258,404880,390000,395000,400000,405000,237110
34,Bexley,England,51.44162,0.14866,549428,173592,545000,550000,170000,175000,228000
35,Luton,England,51.87967,-0.41748,509029,221306,505000,510000,220000,225000,225262
36,Barking,England,51.53333,0.08333,544598,183659,540000,545000,180000,185000,218534
37,Archway,England,51.56733,-0.13415,529418,187033,525000,530000,185000,190000,215667
38,Portsmouth,England,50.79899,-1.09125,464139,100330,460000,465000,100000,105000,208100
39,Swindon,England,51.55797,-1.78116,415268,184366,415000,420000,180000,185000,201669
40,Dudley,England,52.5,-2.08333,394440,289125,390000,395000,285000,290000,199059
41,Aberdeen,Scotland,57.14369,-2.09814,394160,805871,390000,395000,805000,810000,198590
42,Sutton,England,51.35,-0.2,525448,162751,525000,530000,160000,165000,187600
43,St Helens,England,53.45,-2.73333,351396,395055,350000,355000,395000,400000,183200
44,Ipswich,England,52.05917,1.15545,616414,244787,615000,620000,240000,245000,178835
45,Wigan,England,53.54296,-2.63706,357881,405335,355000,360000,405000,410000,175405
46,Croydon,England,51.38333,-0.1,532316,166633,530000,535000,165000,170000,173314
47,Warrington,England,53.39254,-2.58024,361510,388569,360000,365000,385000,390000,172330
